Index,Goal,Goal_title,Target,Indicator,Indicator_title,definition
3.b.2,3, Ensure healthy lives and promote well-being for all at all ages,3.b,3.b.2,Total net official development assistance to medical research and basic health sectors,Gross disbursements of total ODA from all donors to medical research and basic health sectors.
3.b.3,3, Ensure healthy lives and promote well-being for all at all ages,3.b,3.b.3,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis. The indicator is a multidimensional index reported as a proportion (%) of health facilities that have a defined core set of quality-assured medicines that are available and affordable relative to the total number of surveyed health facilities at national level. 
3.c.1,3, Ensure healthy lives and promote well-being for all at all ages,3.c,3.c.1,Health worker density and distribution,"Density of medical doctors: The density of medical doctors is defined as the number of medical doctors, including generalists and specialist medical practitioners per 10,000 population in the given national and/or subnational area. The International Standard Classification of Occupations (ISCO) unit group codes included in this category are 221, 2211 and 2212 of ISCO-08. Density of nursing and midwifery personnel: The density of nursing and midwifery personnel is defined as the number of nursing and midwifery personnel per 10,000 population in the given national and/or subnational area. The ISCO-08 codes included in this category are 2221, 2222, 3221 and 3222. Last updated: March 2021 Density of dentists: The density of dentists is defined as the number of dentists per 10,000 population in the given national and/or subnational area. The ISCO-08 codes included in this category are 2261. Density of pharmacists: The density of pharmacists is defined as the number of pharmacists per 10,000 population in the given national and/or subnational area. The ISCO-08 codes included in this category are 2262."
3.d.1,3, Ensure healthy lives and promote well-being for all at all ages,3.d,3.d.1,International Health Regulations (IHR) capacity and health emergency preparedness,"The IHR self-assessment and reporting tool captures the level of self-assessed national capacities. They are essential public health capacities that States Parties are required to have in place throughout their territories pursuant to Articles 5 and 12, and Annex 1A of the IHR (2005) requirements."
3.d.2,3, Ensure healthy lives and promote well-being for all at all ages,3.d,3.d.2,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms,"Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA)
and Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking
care and whose blood sample is taken and tested."
4.1.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,4.1.1,Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficienc,"Percentage of children and young people achieving at least a minimum proficiency level in (i) reading and (ii) mathematics during primary education (Grade 2 or 3), at the end of primary education, and at the end of lower secondary education. The minimum proficiency level will be measured relative to new common reading and mathematics scales currently in development."
4.1.2,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.1,4.1.2,"Completion rate (primary education, lower secondary education, upper secondary education)",Percentage of a cohort of children or young people aged 3-5 years above the intended age for the last grade of each level of education who have completed that grade.
4.2.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.2,4.2.1,"Proportion of children aged 24–59 months who are developmentally on track in health, learning and psychosocial well-being, by sex","The proportion of children aged 24 to 59 months who are developmentally on track in health, learning and psychosocial well-being."
4.2.2,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.2,4.2.2,"Participation rate in organized learning (one year before the official primary entry age), by sex","The participation rate in organized learning (one year before the official primary entry age), by sex as defined as the percentage of children in the given age range who participate in one or more organized learning programme, including programmes which offer a combination of education and care. Participation in early childhood and in primary education are both included. The age range will vary by country depending on the official age for entry to primary education."
4.3.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.3,4.3.1,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","The percentage of youth and adults in a given age range (e.g. 15-24 years, 25-64 years, etc.) participating in formal or non-formal education or training in a given time period (e.g. last 12 months)."
4.4.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.4,4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","The proportion of youth and adults with information and communications technology (ICT) skills, by type of skill as defined as the percentage of individuals that have undertaken certain ICT-related activities in the last 3 months. The indicator is expressed as a percentage."
4.5.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.5,4.5.1,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become","Parity indices require data for the specific groups of interest. They represent the ratio of the indicator value for one group to that of the other. Typically, the likely more disadvantaged group is placed in the numerator. A value of exactly 1 indicates parity between the two groups."
4.6.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.6,4.6.1,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex",The proportion of youth (aged 15-24 years) and of adults (aged 15 years and above) who have achieved or exceeded a fixed level of proficiency in (a) literacy and (b) numeracy.
4.7.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.7,4.7.1,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula;,"This is an indicator of characteristics of different aspects of education systems: education policies, curricula, teacher training and student assessment as reported by government officials, ideally following consultation with Last updated: 7 May 2021 other government ministries, national human rights institutes, the education sector and civil society organizations. It measures what governments intend and not what is implemented in practice in schools and classrooms. For each of the four components of the indicator (policies, curricula, teacher education, and student assessment), a number of criteria are measured, which are then combined to give a single score between zero and one for each component. "
4.a.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.a,4.a.1,"Proportion of schools offering basic services, by type of service","This indicator is defined as the proportion of time spent in a day on unpaid domestic and care work by
men and women. Unpaid domestic and care work refers to activities related to the provision of services
for own final use by household members, or by family members living in other households. These
activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household
and family members” and “4. Unpaid caregiving services for household and family members”. "
4.b.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.b,4.b.1,Volume of official development assistance flows for scholarships by sector and type of study,Gross disbursements of total ODA from all donors for scholarships. 
4.c.1,4, Ensure inclusive and equitable quality education and promote lifelong learning opportunities for all,4.c,4.c.1,"Proportion of teachers with the minimum required qualifications, by education level","The percentage of teachers by level of education taught (pre-primary, primary, lower secondary and upper secondary education) who have received at least the minimum organized pedagogical teacher training pre-service and in-service required for teaching at the relevant level in a given country"
5.1.1,5, Achieve gender equality and empower all women and girls,5.1,5.1.1,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex","The indicator is based on an assessment of legal frameworks that promote, enforce and monitor gender equality. The assessment is carried out by national counterparts, including National Statistical Offices (NSOs) and/or National Women’s Machinery (NWMs), and legal practitioners/researchers on gender equality, using a questionnaire comprising 42 yes/no questions under four areas of law: (i) overarching legal frameworks and public life; (ii) violence against women; (iii) employment and economic benefits; and (iv) marriage and family "
5.2.1,5, Achieve gender equality and empower all women and girls,5.2,5.2.1,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partne","This indicator measures the percentage of ever-partnered women and girls aged 15 years and older who have experienced physical, sexual or psychological violence by a current or former intimate partner, in the previous 12 months. Definition of violence against women and girls and of the forms of violence specified under this indicator are presented in the next section (Concepts). NOTE: We refer to “violence against women” throughout, and this also includes adolescent girls (15-19 years old)."
5.2.2,5, Achieve gender equality and empower all women and girls,5.2,5.2.2,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and","This indicator measures the percentage of women and girls aged 15 years and older who have experienced sexual violence by persons other than an intimate partner, in the previous 12 months. Definition of sexual violence against women and girls is presented in the next section (Concepts). "
5.3.1,5, Achieve gender equality and empower all women and girls,5.3,5.3.1,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18
5.3.2,5, Achieve gender equality and empower all women and girls,5.3,5.3.2,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation. 1 The official indicator name refers to ‘female genital mutilation/cutting’, or FGM/C. In recent years the convention within UNICEF and partner organizations has shifted to referring to ‘female genital mutilation’, or FGM, a term which is now used interchangeably with FGM/C throughout the metadata. Other common terms for the practice include ‘female circumcision’ and ‘excision’. The custodian will request the IAEG-SDGs to consider a refinement of the indicator name to reflect this change for consideration at the UN Statistical Commission in 2022. Last updated: March 2021 This indicator can be measured among smaller age groups, with the experience of younger women representing FGM/C that has occurred more recently and the experience of older women representing levels of the practice in the past. At the regional and global level, this indicator is currently being reported as the proportion of adolescent girls aged 15-19 years who have undergone female genital mutilation."
5.4.1,5, Achieve gender equality and empower all women and girls,5.4,5.4.1,"Proportion of time spent on unpaid domestic and care work, by sex, age and location","This indicator is defined as the proportion of time spent in a day on unpaid domestic and care work by men and women. Unpaid domestic and care work refers to activities related to the provision of services for own final use by household members, or by family members living in other households. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”."
5.5.1,5, Achieve gender equality and empower all women and girls,5.5,5.5.1,Proportion of seats held by women in (a) national parliaments and (b) local governments,"The proportion of seats held by women in (a) national parliaments, currently as at 1 January of reporting year, is currently measured as the number of seats held by women members in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats. National parliaments can be bicameral or unicameral. This indicator covers the single chamber in unicameral parliaments and the lower chamber in bicameral parliaments. It does not cover the upper chamber of bicameral parliaments. Seats are usually won by members in general parliamentary elections. Last updated: 24 August 2021 Seats may also be filled by nomination, appointment, indirect election, rotation of members and by-election. Seats refer to the number of parliamentary mandates, or the number of members of parliament."
5.5.2,5, Achieve gender equality and empower all women and girls,5.5,5.5.2,Proportion of women in managerial positions,"This indicator refers to the proportion of females in the total number of persons employed in managerial positions. It is recommended to use two different measures jointly for this indicator: the share of females in (total) management and the share of females in senior and middle management (thus excluding junior management). The joint calculation of these two measures provides information on whether women are more represented in junior management than in senior and middle management, thus pointing to an eventual ceiling for women to access higher-level management positions. In these cases, calculating only the share of women in (total) management would be misleading, in that it would suggest that women hold positions with more decision-making power and responsibilities than they actually do."
5.6.1,5, Achieve gender equality and empower all women and girls,5.6,5.6.1,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",Proportion of women aged 15-49 years (married or in union) who make their own decision on all three selected areas i.e. decide on their own health care; decide on use of contraception; and can say no to sexual intercourse with their husband or partner if they do not want. Only women who provide a “yes” answer to all three components are considered as women who make their own decisions regarding sexual and reproductive health. A union involves a man and a woman regularly cohabiting in a marriagelike relationship.
5.6.2,5, Achieve gender equality and empower all women and girls,5.6,5.6.2,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care,","Sustainable Development Goal (SDG) Indicator 5.6.2 seeks to measure the extent to which countries have national laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education. Last updated: March 2021 The indicator is a percentage (%) scale of 0 to 100 (national laws and regulations exist to guarantee full and equal access), indicating a country’s status and progress in the existence of such national laws and regulations. Indicator 5.6.2 measures only the existence of laws and regulations; it does not measure their implementation."
5.a.1,5, Achieve gender equality and empower all women and girls,5.a,5.a.1,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-beare","Sub-indicator (a) is a prevalence measure. It measures the prevalence of people in the agricultural
population with ownership or tenure rights over agricultural land, disaggregated by sex. Sub-indicator (b) focuses on gender parity, measuring the extent to which women are disadvantaged in
ownership / tenure rights over agricultural land. "
5.a.2,5, Achieve gender equality and empower all women and girls,5.a,5.a.2,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,"Indicator 5.a.2 looks at the extent to which the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control. The indicator “measures” the level to which a country’s legal framework supports women’s land rights, by testing that framework against six proxies drawn from international law and internationally accepted good practices , in particular the Convention on the Elimination of Discrimination Against Women (CEDAW) ratified by 189 countries, and the Voluntary Guidelines for the Responsible Governance of the Tenure of Land Fisheries and Forestry (VGGT) endorsed unanimously by Committee of Food Security (CFS) members in 2012. Last updated: 10 February 2021 The six proxies through which indicator 5.a.2 is monitored are the following: Proxy A: Joint registration of land compulsory or encouraged through economic incentives Proxy B: Compulsory spousal consent for land transactions Proxy C: Women’s and girls’ equal inheritance rights Proxy D: Allocation of financial resources to increase women’s ownership and control over land Proxy E: In legal systems that recognise customary land tenure, existence of explicit protection of the land rights of women Proxy F: Mandatory quotas for women’s participation in land management and administration institutions"
5.b.1,5, Achieve gender equality and empower all women and girls,5.b,5.b.1,"Proportion of individuals who own a mobile telephone, by sex","The proportion of individuals who own a mobile telephone, by sex is defined as the ‘proportion of individuals who own a mobile telephone, by sex’."
5.c.1,5, Achieve gender equality and empower all women and girls,5.c,5.c.1,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,"This indicator is defined as the proportion of time spent in a day on unpaid domestic and care work by men and women. Unpaid domestic and care work refers to activities related to the provision of services for own final use by household members, or by family members living in other households. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”. "
6.1.1,6, Ensure availability and sustainable management of water and sanitation for all,6.1,6.1.1,Proportion of population using safely managed drinking water services,"Proportion of population using safely managed drinking water services is currently being measured by the proportion of population using an improved basic drinking water source which is located on premises, available when needed and free of faecal (and priority chemical) contamination. ‘Improved’ drinking water sources include: piped water into dwelling, yard or plot; public taps or standpipes; boreholes or tubewells; protected dug wells; protected springs; packaged water; delivered water and rainwater. "
6.2.1,6, Ensure availability and sustainable management of water and sanitation for all,6.2,6.2.1,Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water,"The Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water is currently being measured by the proportion of the population using a basic sanitation facility which is not shared with other households and where excreta is safely disposed in situ or treated off-site. ‘Improved’ sanitation facilities include: flush or pour flush toilets to sewer systems, septic tanks or pit latrines, ventilated improved pit latrines, pit latrines with a slab, and composting toilets. Population with a basic handwashing facility: a device to contain, transport or regulate the flow of water to facilitate handwashing with soap and water in the household."
6.3.1,6, Ensure availability and sustainable management of water and sanitation for all,6.3,6.3.1,Proportion of domestic and industrial wastewater flows safely treated,"This indicator measures the volumes of wastewater which are generated through different activities, and the volumes of wastewater which are safely treated before discharge into the environment. Both of these indicators are measured in units of 1000 m3/day, although some data sources may use other units that require conversion. The ratio of the volume treated to the volume generated is taken as the ‘proportion of wastewater flow safely treated’. Wastewater flows will be classified into industrial, services, and domestic flows, with reference to the International Standard Industrial Classification of All Economic Activities Revision 4 (ISIC). To the extent possible, the proportion of each of these waste streams that is safely treated before discharge to the environment will be calculated."
6.3.2,6, Ensure availability and sustainable management of water and sanitation for all,6.3,6.3.2,Proportion of bodies of water with good ambient water quality,"The indicator is defined as the proportion of water bodies in the country that have good ambient water quality. Ambient water quality refers to natural, untreated water in rivers, lakes and groundwaters and represents a combination of natural influences together with the impacts of all anthropogenic activities. The indicator relies on water quality data derived from in situ measurements and the analysis of samples collected from surface and groundwaters. Water quality is assessed by means of core physical and chemical parameters that reflect natural water quality related to climatological and geological factors, together with major impacts on water quality. The continuous monitoring of all surface and groundwaters is economically unfeasible and not required to sufficiently characterize the status of ambient water quality in a country. Therefore, countries select river, lake and groundwater bodies that are representative and significant for the assessment and management of water quality to monitor and report on indicator 6.3.2. The quality status of individual water bodies is classified based on the compliance of the available water quality Last updated: 2 February 2021 monitoring data for the core parameters with target values defined by the country. The indicator is computed as the proportion of the number of water bodies classified as having good quality (i.e. with at least 80 % compliance) to the total number of assessed water bodies, expressed as a percentage."
6.4.1,6, Ensure availability and sustainable management of water and sanitation for all,6.4,6.4.1,Change in water-use efficiency over time,"The change in water use efficiency over time (CWUE). The change in the ratio of the value added to the volume of water use, over time. Last updated: July 2021 Water Use Efficiency (WUE) is defined as the value added of a given major sector1 divided by the volume of water used. Following ISIC 4 coding, sectors are defined as: 1. agriculture; forestry; fishing (ISIC A), hereinafter “agriculture”; 2. mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (ISIC B, C, D and F), hereinafter “MIMEC”; 3. all the service sectors (ISIC E and ISIC G-T), hereinafter “services”."
6.4.2,6, Ensure availability and sustainable management of water and sanitation for all,6.4,6.4.2,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"Last updated: July 2021 The level of water stress: freshwater withdrawal as a proportion of available freshwater resources is the ratio between total freshwater withdrawn by all major sectors and total renewable freshwater resources, after taking into account environmental flow requirements. Main sectors, as defined by ISIC standards, include agriculture; forestry and fishing; manufacturing; electricity industry; and services. This indicator is also known as water withdrawal intensity."
6.5.1,6, Ensure availability and sustainable management of water and sanitation for all,6.5,6.5.1,Degree of integrated water resources management,"Indicator 6.5.1 is ‘degree of integrated water resources management implementation’. It measures the stages of development and implementation of Integrated Water Resources Management (IWRM), on a Last updated: 2 February 2021 scale of 0 to 100, in six categories (see Rationale section). The indicator score is calculated from a country survey with 33 questions, with each question scored on the same scale of 0-100. The definition of IWRM is based on an internationally agreed definition, and is universally applicable. IWRM was officially established in 1992 and is defined as “a process which promotes the coordinated development and management of water, land and related resources in order to maximise economic and social welfare in an equitable manner without compromising the sustainability of vital ecosystems.” (GWP 2010). The method builds on official UN IWRM status reporting, from 2008 and 2012, of the Johannesburg Plan of Implementation from the UN World Summit for Sustainable Development (1992)."
6.5.2,6, Ensure availability and sustainable management of water and sanitation for all,6.5,6.5.2,Proportion of transboundary basin area with an operational arrangement for water cooperation,"The indicator monitors the “transboundary basin” area within a country covered by an “operational” “arrangement for water cooperation”. A “transboundary basin” refers to a river or lake basin, or an aquifer system that marks, crosses or is located on boundaries between two or more states. A basin comprises the entire catchment area of a surface water body (river or lake), or for groundwater, the area of the aquifer, i.e. the entire permeable water-bearing geological formation. For the purpose of calculating the value of SDG indicator 6.5.2 the transboundary basin area is the extent of the catchment area (river or lake basin); or the extent of the aquifer. Last updated: July 2021 “Arrangement for water cooperation” refers to a bilateral or multilateral treaty, convention, agreement or other formal arrangement, such as memorandum of understanding between countries sharing transboundary basins that provides a framework for cooperation on transboundary water management. Agreements or other kinds of formal arrangements may be interstate, intergovernmental, interministerial, interagency or between regional authorities. “Operational” means that an agreement for cooperation between the countries sharing transboundary basins meets all the following criteria: - There is a joint body or mechanism (e.g. a river basin organization) for transboundary cooperation; - There are regular, i.e., at least annual, formal communications between riparian countries in form of meetings (either at the political and/or technical level); - There is a joint or coordinated water management plan(s), or joint objectives have been set; - There is a regular, i.e., at least annual, exchange of data and information."
6.6.1,6, Ensure availability and sustainable management of water and sanitation for all,6.6,6.6.1,Change in the extent of water-related ecosystems over time,"Indicator 6.6.1 tracks the extent to which different types of water-related ecosystems are changing in extent over time. The indicator is multifaceted capturing data on different types of freshwater ecosystems and to measure extent change the indicator considers spatial area changes, water quality and water quantity changes. The indicator uses satellite based Earth observations to globally monitor different freshwater ecosystems types Earth observation data series on surface area are available on permanent water, seasonal water, reservoirs, wetlands, mangroves; as well as generating data on water quality the using trophic state and turbidity of water bodies. Satellite images can be represented as numerical data, which in turn are aggregated into meaningful statistics of ecosystem change attributed to administrative areas such as national, sub-national (e.g. regions and provinces) and river basin boundaries. Global data products for river flows and groundwater level have not yet been produced at useful spatial and temporal resolutions to be incorporated into this SDG 6.6.1 methodology. Currently, these data should continue to be provided from modelling or from ground-based measurements and required from the countries."
6.a.1,6, Ensure availability and sustainable management of water and sanitation for all,6.a,6.a.1,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan is defined as the proportion of total water and sanitation-related Official Development Assistance (ODA) disbursements that are included in the government budget.
6.b.1,6, Ensure availability and sustainable management of water and sanitation for all,6.b,6.b.1,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation ma,"The indicator assesses the percentage of local administrative units (as defined by the national government) that have an established and operational mechanism by which individuals and communities can meaningfully contribute to decisions and directions about water and sanitation management. The indicator Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management is currently being measured by the Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water and sanitation management, and hygiene promotion and the Proportion of countries with high level of users/communities participating in planning programs in water and sanitation management, and hygiene promotion."
7.1.1,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.1,7.1.1,Proportion of population with access to electricity,"Proportion of population with access to electricity is the percentage of population with access to electricity. SDG7 ensures access to affordable, reliable, sustainable and modern energy for all. Specifically, Indicator 7.1.1 refers to the proportion of population with access to electricity. This is expressed in percentage figures and is disaggregated by total, urban and rural access rates per country, as well as by UN regional and global classifications."
7.1.2,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.1,7.1.2,Proportion of population with primary reliance on clean fuels and technology,"Proportion of population with primary reliance on clean fuels and technology is calculated as the number of people using clean fuels and technologies for cooking, heating and lighting divided by total population reporting that any cooking, heating or lighting, expressed as percentage. “Clean” is defined by the emission rate targets and specific fuel recommendations (i.e. against unprocessed coal and kerosene) included in the normative guidance WHO guidelines for indoor air quality: household fuel combustion."
7.2.1,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.2,7.2.1,Renewable energy share in the total final energy consumption,The renewable energy share in total final consumption is the percentage of final consumption of energy that is derived from renewable resources.
7.3.1,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.3,7.3.1,Energy intensity measured in terms of primary energy and GDP,Energy intensity is defined as the energy supplied to the economy per unit value of economic output.
7.a.1,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.a,7.a.1,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid syst","The flows are covered through two complementary sources.
OECD: The flows covered by the OECD are defined as all official loans, grants and equity investments
received by countries on the DAC List of ODA Recipients from foreign governments and multilateral
agencies, for the purpose of clean energy research and development and renewable energy production,
including in hybrid systems extracted from the OECD/DAC Creditor Reporting System (CRS) with the
following sector codes:
Last updated: March 2021
• 23210 Energy generation, renewable sources – multiple technologies - Renewable energy
generation programmes that cannot be attributed to one single technology (codes 23220 through 23280
below). Fuelwood/charcoal production should be included under forestry 31261.
• 23220 Hydro-electric power plants - Including energy generating river barges.
• 23230 Solar energy - Including photo-voltaic cells, solar thermal applications and solar heating.
• 23240 Wind energy - Wind energy for water lifting and electric power generation.
• 23250 Marine energy - Including ocean thermal energy conversion, tidal and wave power.
• 23260 Geothermal energy - Use of geothermal energy for generating electric power or directly as
heat for agriculture, etc.
• 23270- Biofuel-fired power plants Use of solids and liquids produced from biomass for direct
power generation. Also includes biogases from anaerobic fermentation (e.g. landfill gas, sewage sludge
gas, fermentation of energy crops and manure) and thermal processes (also known as syngas); waste
fired power plants making use of biodegradable municipal waste (household waste and waste from
companies and public services that resembles household waste, collected at installations specifically
designed for their disposal with recovery of combustible liquids, gases or heat). See code 23360 for nonrenewable waste-fired power plants.
Research and development of energy efficiency technologies and measures is captured under CRS sector
code 23182 on Energy research. The above flows also include technical assistance provided to support
production, research and development as defined above.
IRENA: The flows covered by IRENA are defined as all additional loans, grants and equity investments
received by developing countries (defined as countries in developing regions, as listed in the UN M49
composition of regions) from all foreign governments, multilateral agencies and additional development
finance institutions (including export credits, where available) for the purpose of clean energy research
and development and renewable energy production, including in hybrid systems. These additional flows
cover the same technologies and other activities (research and development, technical assistance, etc.)
as listed above and exclude all flows extracted from the OECD/DAC CRS."
7.b.1,7," Ensure access to affordable, reliable, sustainable and modern energy for all",7.b,7.b.1,Installed renewable energy-generating capacity in developing countries (in watts per capita),The indicator is defined as the installed capacity of power plants that generate electricity from renewable energy sources divided by the total population of a country. Capacity is defined as the net maximum electrical capacity installed at the year-end and renewable energy sources are as defined in the IRENA Statute (see concepts below).
8.1.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.1,8.1.1,Annual growth rate of real GDP per capita,"Annual growth rate of real Gross Domestic Product (GDP) per capita is calculated as the percentage
change in the real GDP per capita between two consecutive years. Real GDP per capita is calculated by
dividing GDP at constant prices by the population of a country or area. The data for real GDP are
measured in constant US dollars to facilitate the calculation of country growth rates and aggregation of
the country data"
8.2.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.2,8.2.1,Annual growth rate of real GDP per employed person,The annual growth rate of real GDP per employed person conveys the annual percentage change in real Gross Domestic Product per employed person.
8.3.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.3,8.3.1,"Proportion of informal employment in total employment, by sector and sex","This indicator presents the share of employment which is classified as informal employment in the total economy, and separately in agriculture and in non-agriculture."
8.4.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.4,8.4.1,"Material footprint, material footprint per capita, and material footprint per GDP","Material Footprint (MF) is the attribution of global material extraction to domestic final demand of a country. The total material footprint is the sum of the material footprint for biomass, fossil fuels, metal ores and non-metal ores."
8.4.2,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.4,8.4.2,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP",Domestic Material Consumption (DMC) is a standard material flow accounting (MFA) indicator and reports the apparent consumption of materials in a national economy.
8.5.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,8.5.1,"Average hourly earnings of employees, by sex, age, occupation and persons with disabilities","This indicator provides information on the mean hourly earnings from paid employment of employees by sex, occupation, age and disability status."
8.5.2,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.5,8.5.2,"Unemployment rate, by sex, age and persons with disabilities",The unemployment rate conveys the percentage of persons in the labour force who are unemployed.
8.6.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.6,8.6.1,"Proportion of youth (aged 15–24 years) not in education, employment or training","This indicator conveys the proportion of youth (aged 15-24 years) not in education, employment or training (also known as ""the youth NEET rate"")."
8.7.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.7,8.7.1,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age","The number of children engaged in child labour corresponds to the number of children reported to be in child labour during the reference period (usually the week prior to the survey). The proportion of children in child labour is calculated as the number of children in child labour divided by the total number of children in the population. For the purposes of this indicator, children include all persons aged 5 to 17."
8.8.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.8,8.8.1,"Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status","This indicator provides information on the number of fatal and non-fatal occupational injuries per 100,000 workers in the reference group during the reference period. It is a measure of the personal likelihood or risk of having a fatal or a non-fatal occupational injury for each worker in the reference group. The number of occupational injuries expressed per a given number of workers in the reference group is also known as the incidence rate of occupational injuries"
8.8.2,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.8,8.8.2,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources,"The indicator measures the level of national compliance with fundamental rights at work (freedom of association and collective bargaining, FACB) for all ILO member states based on six international ILO supervisory body textual sources and also on national legislation. It is based on the coding of textual sources against a list of evaluation criteria and then converting the coding into indicators."
8.9.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.9,8.9.1,Tourism direct GDP as a proportion of total GDP and in growth rate,"Tourism Direct GDP (TDGDP) is defined as the sum of the part of gross value added (at basic prices) generated by all industries in response to internal tourism consumption plus the amount of net taxes on products and imports included within the value of this expenditure at purchasers’ prices. The indicator relies on the Tourism Satellite Account: Recommended Methodological Framework 2008, an international standard adopted by the UN Statistical Commission and elaborated by UNWTO, OECD and EUROSTAT."
8.10.1,8," Promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all",8.1,8.10.1,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults","The number of commercial bank branches per 100,000 adults The number of automated teller machines (ATMs) per 100,000 adults"
