,UniqueID,Goal,Target,Indicator,SeriesCode,SeriesDescription,Source,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,
12,AG_FPA_COMM             SOR            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
13,AG_FPA_COMM             WHE            ,2.0,2.c,2.c.1,AG_FPA_COMM,"Indicator of Food Price Anomalies (IFPA), by type of product",,,,,,,,,,,,
14,AG_LND_DGRD                         ,15.0,15.3,15.3.1,AG_LND_DGRD,Proportion of land that is degraded over total land area (%),Ministry of Environment and Natural Resources,,,,24.0,,,,,,,
15,AG_LND_FRST                         ,15.0,15.1,15.1.1,AG_LND_FRST,Forest area as a proportion of total land area (%),"FAO, Global Forest Resources Assessment and FAOSTAT",,,,33.46211,33.35386,33.24561,33.13736,33.02912,32.92087,,
16,AG_LND_FRSTBIOPHA                         ,15.0,15.2,15.2.1,AG_LND_FRSTBIOPHA,Above-ground biomass stock in forest (tonnes per hectare),"FAO, Global Forest Resources Assessment",,,,124.05,124.05,124.05,124.05,124.05,124.05,,
17,AG_LND_FRSTCERT                         ,15.0,15.2,15.2.1,AG_LND_FRSTCERT,Forest area under an independently verified forest management certification scheme (thousands of hectares),"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",,,,499.575,497.968,439.022,503.745,502.066,504.965,,
18,AG_LND_FRSTCHG                         ,15.0,15.2,15.2.1,AG_LND_FRSTCHG,Forest area annual net change rate (%),"FAO, Global Forest Resources Assessment",,,,,,,,,-0.54,,
19,AG_LND_FRSTMGT                         ,15.0,15.2,15.2.1,AG_LND_FRSTMGT,Proportion of forest area under a long-term management plan (%),"FAO, Global Forest Resources Assessment",,,,0.16,0.1,0.09,0.09,0.09,0.09,,
20,AG_LND_FRSTN                         ,15.0,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),"FAO, Global Forest Resources Assessment",,,,3585.8,3574.2,3562.6,3551.0,3539.4,3527.8,,
21,AG_LND_FRSTPRCT                         ,15.0,15.2,15.2.1,AG_LND_FRSTPRCT,Proportion of forest area within legally established protected areas (%),"FAO, Global Forest Resources Assessment",,,,52.87,53.6,53.06,52.53,52.01,51.49,,
22,AG_LND_TOTL                         ,15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),Data from FAOSTAT extracted 20210125,,,,10716.0,10716.0,10716.0,10716.0,,,,
23,AG_LND_TOTL                         ,15.0,15.1,15.1.1,AG_LND_TOTL,Land area (thousands of hectares),FAO estimate based on FAOSTAT data from 2018,,,,,,,,10716.0,10716.0,,
24,AG_PRD_AGVAS              A           ,2.0,2.a,2.a.1,AG_PRD_AGVAS,Agriculture value added share of GDP (%),UNSD national account estimates,10.28,10.36,10.07,9.97,9.66,9.68,9.44,9.37,,,
25,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,42.7,44.2,43.5,45.2,49.7,,,
26,AG_PRD_FIESMS FEMALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,43.6,44.5,44.3,46.2,49.1,,,
27,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,Prevalence of moderate or severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,38.3,40.1,38.5,39.6,42.6,,,
28,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,Total population in moderate or severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,693.5,733.1,736.0,780.2,872.9,,,
29,AG_PRD_FIESMSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,Total population in moderate or severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,234.5,246.4,252.3,270.2,295.2,,,
30,AG_PRD_FIESMSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMSN,Total population in moderate or severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,191.2,206.1,203.8,216.3,239.4,,,
31,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESS,Prevalence of severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,16.1,17.0,17.1,18.1,19.2,,,
32,AG_PRD_FIESS FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,Prevalence of severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,15.9,16.4,16.7,18.0,17.9,,,
33,AG_PRD_FIESS MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESS,Prevalence of severe food insecurity in the adult population (%),Food and Agriculture Organization of the United Nations (FAO),,,,14.5,15.7,15.6,16.0,16.7,,,
34,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,Total population in severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,261.1,282.2,289.8,312.5,337.4,,,
35,AG_PRD_FIESSN FEMALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,Total population in severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,85.2,90.6,95.2,105.1,107.6,,,
36,AG_PRD_FIESSN MALE             A    15+       ,2.0,2.1,2.1.2,AG_PRD_FIESSN,Total population in severe food insecurity (thousands of people),Food and Agriculture Organization of the United Nations (FAO),,,,72.4,80.6,82.5,87.3,94.1,,,
37,AG_PRD_ORTIND              A           ,2.0,2.a,2.a.1,AG_PRD_ORTIND,Agriculture orientation index for government expenditures,FAO Questionnaire. UNSD national account estimates.,0.3013,0.2601,0.302,0.18,0.1828,0.2225,0.18,0.17,,,
38,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,Agriculture share of Government Expenditure (%),FAO Questionnaire. UNSD national account estimates.,3.1,2.69,3.04,1.83,1.77,2.15,1.69,1.59,,,
39,BN_CAB_XOKA_GD_ZS                         ,17.0,17.13,17.13.1,BN_CAB_XOKA_GD_ZS,Current account balance as a proportion of GDP (%),"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",-3.7248,-4.2244,-3.3003,-1.2443,0.9648,1.1961,0.8501,2.3256,5.4752,,
40,BN_KLT_PTXL_CD                         ,17.0,17.13,17.13.1,BN_KLT_PTXL_CD,"Portfolio investment, net (Balance of Payments, current United States dollars)","International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",-701937500.0,-712303220.0,-749229040.0,-33822720.0,-610431330.0,-803906050.0,18547090.0,-1027034320.0,-1212689340.0,,
41,BX_KLT_DINV_WD_GD_ZS                         ,17.0,17.13,17.13.1,BX_KLT_DINV_WD_GD_ZS,"Foreign direct investment, net inflows, as a proportion of GDP (%)","International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2.8226,2.8722,2.433,1.9351,1.2805,1.3933,1.26,1.5182,,,
42,BX_TRF_PWKR                         ,17.0,17.3,17.3.2,BX_TRF_PWKR,Volume of remittances (in United States dollars) as a proportion of total GDP (%),"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",10.0119,10.0077,9.9416,10.4234,11.1465,11.7144,12.8915,13.8348,14.6935,,
43,DC_FTA_TOTAL                         ,17.0,17.9,17.9.1,DC_FTA_TOTAL,Total official development assistance (gross disbursement) for technical cooperation (millions of 2019 United States dollars),The Organisation for Economic Co-operation and Development (OECD).,192.43337,148.18809,88.61064,48.66068,77.71732,94.32348,289.73249,61.08202,,,
44,DC_ODA_BDVL                         ,15.0,15.a,15.a.1,DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,18.53,54.6105,43.89986,42.3546,35.92332,18.91733,26.19112,,,,
45,DC_ODA_BDVL                         ,15.0,15.b,15.b.1,DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,18.53,54.6105,43.89986,42.3546,35.92332,18.91733,26.19112,,,,
46,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,"Official development assistance grants for poverty reduction, by recipient countries (percentage of GNI)",The Organisation for Economic Co-operation and Development (OECD).,0.14,0.11,0.1,0.12,0.1,0.15,0.14,0.09,,,
47,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,"Total official flows (disbursements) for agriculture, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,38.8,49.1,57.0,61.9,52.3,47.6,40.9,35.9,,,
48,DC_TOF_HLTHL                         ,3.0,3.b,3.b.2,DC_TOF_HLTHL,"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,21.1985,27.47315,27.21206,49.51174,22.47684,26.21046,19.27541,19.10903,,,
49,DC_TOF_HLTHNT                         ,3.0,3.b,3.b.2,DC_TOF_HLTHNT,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,21.0,26.0,27.0,49.0,22.0,26.0,19.0,19.0,,,
50,DC_TOF_INFRAL                         ,9.0,9.a,9.a.1,DC_TOF_INFRAL,"Total official flows for infrastructure, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,36.83383,102.8484,29.24802,13.90926,14.84127,8.82933,230.41149,81.95048,,,
51,DC_TOF_SCHIPSL                         ,4.0,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,1.3,1.3,1.0,1.1,0.6,0.8,0.6,0.9,,,
52,DC_TOF_TRDCML                         ,8.0,8.a,8.a.1,DC_TOF_TRDCML,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,150.9,159.3,70.0,76.0,46.9,33.4,58.69717,82.40098,,,
53,DC_TOF_TRDDBML                         ,8.0,8.a,8.a.1,DC_TOF_TRDDBML,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,62.7,126.6,58.3,58.9,60.1,49.2,71.8,92.9,,,
54,DC_TOF_WASHL                         ,6.0,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2019 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,4.80599,4.86316,1.85398,2.56611,3.86782,15.23737,24.11358,19.51731,,,
55,DC_TRF_TOTL                         ,10.0,10.b,10.b.1,DC_TRF_TOTL,"Total assistance for development, by recipient countries (millions of current United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,564.0,1060.0,326.0,1315.0,552.0,625.0,643.0,419.0,,,
56,DT_DOD_DECT_GN_ZS                         ,17.0,17.13,17.13.1,DT_DOD_DECT_GN_ZS,External debt stocks as a proportion of GNI (%),"World Bank, International Debt Statistics.",31.1305,33.7787,34.6352,33.5721,33.2359,34.1527,32.6931,35.2494,,,
57,DT_TDS_DECT                         ,17.0,17.4,17.4.1,DT_TDS_DECT,Debt service as a proportion of exports of goods and services (%),"Debt service is the sum of principle repayments and interest actually paid in currency, goods, or services. This series differs from the standard debt to exports series. It covers only long-term public and publicly guaranteed debt and repayments (repurchases and charges) to the IMF. Exports of goods and services include primary income, but do not include workers' remittances.",4.6265,7.0703,4.5334,4.9569,5.3907,5.9427,4.2768,5.5209,,,
58,EG_ACS_ELEC          ALLAREA               ,7.0,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",World Bank,87.0,88.0,85.0,90.0,92.0,93.0,94.0,96.0,,,
59,EG_ACS_ELEC          RURAL               ,7.0,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",World Bank,78.0,80.0,77.0,85.0,87.0,90.0,92.0,94.0,,,
60,EG_ACS_ELEC          URBAN               ,7.0,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",World Bank,96.0,96.0,94.0,96.0,97.0,97.0,97.0,97.0,,,
61,EG_EGY_CLEAN                         ,7.0,7.1,7.1.2,EG_EGY_CLEAN,Proportion of population with primary reliance on clean fuels and technology (%),"Global Health Observatory (GHO), World Health Organisation (WHO).",39.0,40.0,42.0,43.0,44.0,46.0,48.0,49.0,,,
62,EG_EGY_PRIM                         ,7.0,7.3,7.3.1,EG_EGY_PRIM,Energy intensity level of primary energy (megajoules per constant 2017 purchasing power parity GDP),"IEA (2020), World Energy Balances",4.13,4.09,4.08,4.16,4.37,4.24,4.25,,,,
63,EG_EGY_RNEW                         ,7.0,7.b,7.b.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,99.191,105.571,111.457,134.028,160.833,162.749,172.897,163.262,,,
64,EG_EGY_RNEW                         ,12.0,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,99.191,105.571,111.457,134.028,160.833,162.749,172.897,163.262,,,
65,EG_FEC_RNEW                         ,7.0,7.2,7.2.1,EG_FEC_RNEW,Renewable energy share in the total final energy consumption (%),"IEA (2020), World Energy Balances",67.4418,67.28,66.3634,63.3911,63.3282,65.071,64.0977,,,,
66,EG_IFF_RANDN                         ,7.0,7.a,7.a.1,EG_IFF_RANDN,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant United States dollars)","DAC Statistics database, 2021, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2021, The international Renewable Energy Agency (IRENA)",57.33,0.53,24.08,0.02,14.26,0.85,11.72,,,,
67,EG_TBA_H2CO                         ,6.0,6.5,6.5.2,EG_TBA_H2CO,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%),Data compiled by UNECE and UNESCO as co-custodians,,,,,,,,,,,
68,EG_TBA_H2CO                         ,6.0,6.5,6.5.2,EG_TBA_H2CO,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,,,,,,,,,,,
69,EG_TBA_H2COAQ                         ,6.0,6.5,6.5.2,EG_TBA_H2COAQ,Proportion of transboundary aquifers with an operational arrangement for water cooperation (%),Data compiled by UNECE and UNESCO as co-custodians,,,,,,,,,,,
70,EG_TBA_H2COAQ                         ,6.0,6.5,6.5.2,EG_TBA_H2COAQ,Proportion of transboundary aquifers with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,,,,,,,,,,,
71,EG_TBA_H2CORL                         ,6.0,6.5,6.5.2,EG_TBA_H2CORL,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%),Data compiled by UNECE and UNESCO as co-custodians,,,,,,,,,,,
72,EG_TBA_H2CORL                         ,6.0,6.5,6.5.2,EG_TBA_H2CORL,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,,,,,,,,,,,
73,EN_ATM_CO2                     ISIC4_C10T32X19    ,9.0,9.4,9.4.1,EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",1.672,1.719,1.819,1.98,2.036,1.946,1.945,,,,
74,EN_ATM_CO2                     TOTAL    ,9.0,9.4,9.4.1,EN_ATM_CO2,Carbon dioxide emissions from fuel combustion (millions of tonnes),"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",11.029,11.854,12.59,14.985,16.101,15.15,16.856,,,,
75,EN_ATM_CO2GDP                         ,9.0,9.4,9.4.1,EN_ATM_CO2GDP,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2017 United States dollars),"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",0.0983,0.10188,0.10361,0.11846,0.12397,0.11323,0.12205,,,,
76,EN_ATM_CO2MVA                     ISIC4_C    ,9.0,9.4,9.4.1,EN_ATM_CO2MVA,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",0.208,0.207,0.212,0.222,0.222,0.206,0.2,,,,
77,EN_ATM_PM25          ALLAREA               ,11.0,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",WHO,32.46947,33.80759,31.23998,30.77629,30.46781,,,,,,
78,EN_ATM_PM25          RURAL               ,11.0,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",WHO,32.22621,33.54882,30.9499,30.43784,30.16875,,,,,,
79,EN_ATM_PM25          URBAN               ,11.0,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter (population-weighted), by location (micrograms per cubic meter)",WHO,32.80452,34.15359,31.65116,31.23463,30.8782,,,,,,
80,EN_HAZ_EXP                         ,12.0,12.4,12.4.2,EN_HAZ_EXP,"Hazardous waste exported, (Tonnes)",UNSTATS / WESR ,400.88699,0.0,0.0,58578.0,0.0,3000.0,,,,,
81,EN_HAZ_GENGDP                         ,12.0,12.4,12.4.2,EN_HAZ_GENGDP,"Hazardous waste generated, per unit of GDP (kilograms per constant 2015 United States dollars)",UNSTATS / WESR,0.0,0.0003,0.00034,0.00018,8e-05,0.00024,,,,,
82,EN_HAZ_GENV              A           ,12.0,12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),UNSTATS / WESR,14.11,17247.63086,20363.63086,11414.62988,4883.62988,15563.62988,,,,,
83,EN_HAZ_IMP                         ,12.0,12.4,12.4.2,EN_HAZ_IMP,"Hazardous waste imported, (Tonnes)",UNSTATS / WESR ,6320.8999,8912.4502,19000.0,2.88,3520.0,11000.0,,,,,
84,EN_HAZ_PCAP                         ,12.0,12.4,12.4.2,EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",UNSTATS / WESR,0.00092,1.10591,1.27886,0.70233,0.29449,0.92011,,,,,
85,EN_HAZ_TREATV              A           ,12.0,12.4,12.4.2,EN_HAZ_TREATV,"Hazardous waste treated, by type of treatment (Tonnes)",UNSTATS / WESR,4.0,10276.08008,20363.63086,1366.51001,4883.62988,12363.62988,,,,,
86,EN_HAZ_TRTDISR                         ,12.0,12.4,12.4.2,EN_HAZ_TRTDISR,"Hazardous waste treated or disposed, rate (%)",UNSTATS / WESR,44825.65487,59.57966,100.0,11.97157,100.0,79.43924,,,,,
87,EN_HAZ_TRTDISV              A           ,12.0,12.4,12.4.2,EN_HAZ_TRTDISV,Hazardous waste treated or disposed (Tonnes),UNSTATS / WESR,6324.8999,10276.08008,20363.63086,1366.51001,4883.62988,12363.62988,,,,,
88,EN_LKRV_PWAC                         ,6.0,6.6,6.6.1,EN_LKRV_PWAC,Lakes and rivers permanent water area change (%),Global Surface Water Explorer extraction for UN Environment,-0.14765,0.12773,-0.51259,-0.15342,-0.12792,-0.36271,-0.20556,0.48057,0.21077,,
89,EN_LKRV_PWAN                         ,6.0,6.6,6.6.1,EN_LKRV_PWAN,Lakes and rivers permanent water area (square kilometres),Global Surface Water Explorer extraction for UN Environment,1072.564,1075.522,1068.644,1072.502,1072.776,1070.254,1071.942,1079.312,1076.414,,
90,EN_LKRV_PWAP                         ,6.0,6.6,6.6.1,EN_LKRV_PWAP,Lakes and rivers permanent water area (% of total land area),Global Surface Water Explorer extraction for UN Environment,0.01001,0.01004,0.00997,0.01001,0.01001,0.00999,0.01,0.01007,0.01004,,
91,EN_LKRV_SWAC                         ,6.0,6.6,6.6.1,EN_LKRV_SWAC,Lakes and rivers seasonal water area change (%),Global Surface Water Explorer extraction for UN Environment,13.13183,18.86541,30.4053,40.42414,42.67262,47.1099,53.14377,44.72246,37.45943,,
92,EN_LKRV_SWAN                         ,6.0,6.6,6.6.1,EN_LKRV_SWAN,Lakes and rivers seasonal water area (square kilometres),Global Surface Water Explorer extraction for UN Environment,242.618,254.914,279.662,301.148,305.97,315.486,328.426,310.366,294.79,,
93,EN_LKRV_SWAP                         ,6.0,6.6,6.6.1,EN_LKRV_SWAP,Lakes and rivers seasonal water area (% of total land area),Global Surface Water Explorer extraction for UN Environment,0.00226,0.00238,0.00261,0.00281,0.00286,0.00294,0.00306,0.0029,0.00275,,
94,EN_LKW_QLTRB  EXTREME                       ,6.0,6.6,6.6.1,EN_LKW_QLTRB,Lake water quality turbidity (%),Global Surface Water Explorer extraction for UN Environment,,,,,,15.70583,13.5225,11.83455,,,
95,EN_LKW_QLTRB  HIGH                       ,6.0,6.6,6.6.1,EN_LKW_QLTRB,Lake water quality turbidity (%),Global Surface Water Explorer extraction for UN Environment,,,,,,11.38917,10.06167,11.95818,,,
96,EN_LKW_QLTRB  LOW                       ,6.0,6.6,6.6.1,EN_LKW_QLTRB,Lake water quality turbidity (%),Global Surface Water Explorer extraction for UN Environment,,,,,,57.94417,63.2425,62.95636,,,
97,EN_LKW_QLTRB  MEDIUM                       ,6.0,6.6,6.6.1,EN_LKW_QLTRB,Lake water quality turbidity (%),Global Surface Water Explorer extraction for UN Environment,,,,,,14.9625,13.17417,13.25182,,,
98,EN_LKW_QLTRST  EXTREME                       ,6.0,6.6,6.6.1,EN_LKW_QLTRST,Lake water quality trophic state (%),Global Surface Water Explorer extraction for UN Environment,,,,,,0.54917,2.3875,1.22364,,,
99,EN_LKW_QLTRST  HIGH                       ,6.0,6.6,6.6.1,EN_LKW_QLTRST,Lake water quality trophic state (%),Global Surface Water Explorer extraction for UN Environment,,,,,,6.79083,7.085,5.85273,,,
100,EN_LKW_QLTRST  LOW                       ,6.0,6.6,6.6.1,EN_LKW_QLTRST,Lake water quality trophic state (%),Global Surface Water Explorer extraction for UN Environment,,,,,,77.22583,69.35083,81.8,,,
101,EN_LKW_QLTRST  MEDIUM                       ,6.0,6.6,6.6.1,EN_LKW_QLTRST,Lake water quality trophic state (%),Global Surface Water Explorer extraction for UN Environment,,,,,,14.83917,21.1775,10.47182,,,
102,EN_LND_SLUM          URBAN               ,11.0,11.1,11.1.1,EN_LND_SLUM,Proportion of urban population living in slums (%),United Nations Human Settlements Programme (UN-HABITAT),,,38.7,,31.0,,31.0,,,,
103,EN_MAR_BEALITSQ                         ,14.0,14.1,14.1.1,EN_MAR_BEALITSQ,Beach litter per square kilometer (Number),"Plastic Pollution (MLW, MDMAP, ICC)",,,,,4017753.0,10803670.0,250689.0,,,,
104,EN_MAR_CHLANM                    High     ,14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",World Environment Situation Room,,,,,,,3.94461,1.80452,2.38701,,
105,EN_MAR_CHLANM                    Moderate     ,14.0,14.1,14.1.1,EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",World Environment Situation Room,,,,,,,5.09704,2.64257,3.63182,,
106,EN_MAR_CHLDEV                         ,14.0,14.1,14.1.1,EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",World Environment Situation Room,4.79,17.55,3.26,0.09,0.12,0.41,1.06,0.07,,,
107,EN_MAT_DOMCMPC             ALP            ,8.0,8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,6.09295,6.26338,6.47901,6.57227,6.60623,6.63855,,,,,
108,EN_MAT_DOMCMPC             ALP            ,12.0,12.2,12.2.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,6.09295,6.26338,6.47901,6.57227,6.60623,6.63855,,,,,
109,EN_MAT_DOMCMPC             BIM            ,8.0,8.4,8.4.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,4.57955,4.78973,4.83947,4.8613,4.89712,4.9313,,,,,
110,EN_MAT_DOMCMPC             BIM            ,12.0,12.2,12.2.2,EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,4.57955,4.78973,4.83947,4.8613,4.89712,4.9313,,,,,
