"","x"
"124","SH_IHR_CAPS                        IHR09"
"125","SH_BLD_ECOLI"
"126","SE_TOT_PRFL MALE       SKILL_MATH LOWSEC"
"127","SE_TOT_CPLR BOTHSEX        LOWSEC ALLAREA             Q3"
"128","SE_DEV_ONTRK BOTHSEX                 M36T59"
"129","SE_PRE_PARTN BOTHSEX"
"130","SE_ADT_EDUCTRN BOTHSEX"
"131","SE_ADT_ACTS BOTHSEX       PCPR"
"132","SE_AGP_CPRA         PRIMAR ALLAREA             _T"
"133","SE_GCEDESD_CUR"
"134","SE_ACS_H2O         PRIMAR"
"135","DC_TOF_SCHIPSL"
"136","VC_VAW_MARR FEMALE                 15+"
"137","SP_DYN_MRBF15 FEMALE                 20-24"
"138","SG_GEN_LOCGELS FEMALE"
"139","IC_GEN_MGTL FEMALE"
"140","SP_GNP_WNOWNS"
"141","SG_LGL_LNDFEMOD"
"142","IT_MOB_OWN BOTHSEX"
"143","SH_SAN_HNDWSH          URBAN"
"144","ER_H2O_WUEYST                     INDUSTRIES"
"145","ER_H2O_STRESS              A"
"146","ER_H2O_IWRMD                 _T"
"147","EG_TBA_H2CO"
"148","EN_LKW_QLTRB  EXTREME"
"149","DC_TOF_WASHL"
"150","ER_H2O_PRDU          RURAL"
"151","EG_ACS_ELEC          ALLAREA"
"152","EG_EGY_CLEAN"
"153","EG_FEC_RNEW"
"154","EG_EGY_PRIM"
"155","EG_IFF_RANDN"
"156","EG_EGY_RNEW"
"157","NY_GDP_PCAP"
"158","FB_ATM_TOTL              A    15+"
"159","FB_BNK_ACCSS BOTHSEX                 15+"
"160","SL_EMP_PCAP"
"161","SL_ISV_IFEM MALE                    NONAGR"
"162","EN_MAT_DOMCMPC             FEO"
"163","SL_EMP_EARN MALE              isco08-6"
"164","SL_TLF_UEMDIS BOTHSEX                  PWD"
"165","SL_TLF_NEET BOTHSEX                 15-24"
"166","SL_LBR_NTLCPL"
"167","ST_GDP_ZS"
"168","DC_TOF_TRDCML"
"169","SL_CPA_YEMP"
"170","IS_RDP_PORFVOL     SEA"
"171","NV_IND_MANF_CD                     ISIC4_C"
"172","SL_TLF_MANF                     ISIC4_C"
"173","NV_IND_SSIS                     ISIC4_C"
"174","FC_ACC_SSID                     ISIC4_C"
"175","EN_ATM_CO2                     ISIC4_C10T32X19"
"176","GB_XPD_RSDV"
"177","GB_POP_SCIERD"
"178","DC_TOF_INFRAL"
"179","NV_IND_TECH                     ISIC4_C"
"180","IT_MOB_4GNTWK"
