,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Substance use disorders],[Tariff regime (status)],[Severity of price levels],[Sex],[Deviation Level],[Mountain Elevation],[Parliamentary committees],[Mode of transportation],[Fiscal intervention stage],[Type of support],[Type of speed],[Policy instruments],[Policy Domains],[Counterpart],[Type of skill],[Education level],[Type of waste treatment],[Location],[Food Waste Sector],[Name of international agreement],[Reporting Type],[Freq],[Type of product],[Cause of death],[Report Ordinal],[Type of facilities],[Government_Name],[Observation Status],[Type of occupation],[Type of mobile technology],[Name of non-communicable disease],[Grounds of discrimination],[Units],[Level/Status],[Age],[Disability status],[Frequency of Chlorophyll-a concentration],[Activity],[Nature],[Sampling Stations],[Cities],[Level of requirement],[Quantile],[IHR Capacity],[Hazard type],[Migratory status],[Name of international institution]
73,1.0,1.2,1.2.1,SI_POV_NAHC,Proportion of population living below the national poverty line (%),360.0,Indonesia,2017.0,10.6,2017,,,,,"World Development Indicators database, World Bank",,"Source: Biro Pusat Statistik (BPS), Indonesia. Poverty line is absolute. Government estimate.",,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,CA,,,,,,,,
75,1.0,1.3,1.3.1,SI_COV_POOR,"[ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%)",360.0,Indonesia,2018.0,100.0,2018,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
86,1.0,1.3,1.3.1,SI_COV_CHLD,"[ILO] Proportion of children/households receiving child/family cash benefit, by sex (%)",360.0,Indonesia,2020.0,25.6,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
89,1.0,1.3,1.3.1,SI_COV_UEMP,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",360.0,Indonesia,2020.0,0.0,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,No unemployment protection programme anchored in national legislation,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
90,1.0,1.3,1.3.1,SI_COV_VULN,"[ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%)",360.0,Indonesia,2020.0,16.5,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
91,1.0,1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",360.0,Indonesia,2015.0,15.4,2015,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
92,1.0,1.3,1.3.1,SI_COV_WKINJRY,"[ILO] Proportion of employed population covered in the event of work injury, by sex (%)",360.0,Indonesia,2020.0,22.5,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
93,1.0,1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",360.0,Indonesia,2020.0,27.8,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
94,1.0,1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",360.0,Indonesia,2020.0,2.5,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
101,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",360.0,Indonesia,2016.0,14.0,2016,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
102,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",360.0,Indonesia,2019.0,14.1,2019,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
103,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",360.0,Indonesia,2020.0,14.8,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
105,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2012.0,86.0,2012,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
107,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2013.0,87.0,2013,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
110,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2014.0,88.0,2014,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
115,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2015.0,89.0,2015,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
118,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2016.0,89.0,2016,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
121,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2017.0,90.0,2017,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
123,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2018.0,91.0,2018,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
126,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2019.0,92.0,2019,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
130,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",360.0,Indonesia,2020.0,92.0,2020,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
131,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2012.0,66.0,2012,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
134,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2013.0,69.0,2013,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
137,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2014.0,71.0,2014,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
140,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2015.0,74.0,2015,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
143,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2016.0,76.0,2016,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
146,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2017.0,79.0,2017,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
149,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2018.0,81.0,2018,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
152,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2019.0,84.0,2019,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
157,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",360.0,Indonesia,2020.0,86.0,2020,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
159,1.0,1.4,1.4.2,SP_LGL_LNDDOC,"Proportion of people with legally recognized documentation of their rights to land out of total adult population, by sex (%)",360.0,Indonesia,2017.0,45.8,2017,,,,,Demographic and Health Survey,,Total population is restricted to household head and wife due to data limitations.,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
161,1.0,1.4,1.4.2,SP_LGL_LNDSTR,"Proportion of people with secure tenure rights to land out of total adult population, by sex (%)",360.0,Indonesia,2017.0,68.4,2017,,,,,Demographic and Health Survey,,Total population is restricted to household head and wife due to data limitations.,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
162,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2012.0,900280012.28,2012,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
163,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2013.0,704391153.609,2013,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
164,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2014.0,980674664.035,2014,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
165,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2015.0,1394728642.3455,2015,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
166,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2016.0,964488708.07025,2016,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
167,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2017.0,491251258.85,2017,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
168,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2018.0,432797245.7875,2018,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
169,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),360.0,Indonesia,2019.0,1285046970.0305,2019,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
170,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2012.0,38.0,2012,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
171,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2013.0,44.0,2013,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
172,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2014.0,72.0,2014,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
173,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2015.0,57.0,2015,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
174,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2016.0,96.0,2016,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
175,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2017.0,69.0,2017,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
176,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2018.0,1445.0,2018,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
177,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),360.0,Indonesia,2019.0,111.0,2019,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
186,1.0,1.5,1.5.1,VC_DSR_MORT,Number of deaths due to disaster (number),360.0,Indonesia,2012.0,282.0,2012,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
