,UniqueID,Goal,Target,Indicator,SeriesCode,TimePeriod,Value,UniqueIDNew
287,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2016.0,100.0,SG_DSR_SILN
288,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2017.0,5.0,SG_DSR_SILN
289,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2018.0,91.0,SG_DSR_SILN
290,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2019.0,166.0,SG_DSR_SILN
291,SG_DSR_SILN                         ,1.0,1.5,1.5.4,SG_DSR_SILN,2020.0,257.0,SG_DSR_SILN
310,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2015.0,46815601.50196,VC_DSR_AGLH
311,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2017.0,2613727.5224,VC_DSR_AGLH
312,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2018.0,96770720.9939,VC_DSR_AGLH
313,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2019.0,34183251.52554,VC_DSR_AGLH
314,VC_DSR_AGLH                         ,1.0,1.5,1.5.2,VC_DSR_AGLH,2020.0,118073432.61275,VC_DSR_AGLH
330,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2012.0,21.10514,SD_XPD_ESED
331,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2013.0,20.63795,SD_XPD_ESED
332,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2014.0,21.95939,SD_XPD_ESED
333,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2015.0,24.0855,SD_XPD_ESED
334,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2016.0,23.43475,SD_XPD_ESED
335,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2017.0,23.08805,SD_XPD_ESED
336,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2018.0,23.74954,SD_XPD_ESED
337,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,2019.0,23.75538,SD_XPD_ESED
338,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2012.0,0.14,DC_ODA_POVLG
339,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2013.0,0.11,DC_ODA_POVLG
340,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2014.0,0.1,DC_ODA_POVLG
341,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2015.0,0.12,DC_ODA_POVLG
342,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2016.0,0.1,DC_ODA_POVLG
343,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2017.0,0.15,DC_ODA_POVLG
344,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2018.0,0.14,DC_ODA_POVLG
345,DC_ODA_POVLG                         ,1.0,1.a,1.a.1,DC_ODA_POVLG,2019.0,0.09,DC_ODA_POVLG
346,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2012.0,17.0,SN_ITK_DEFC
347,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2013.0,17.6,SN_ITK_DEFC
348,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2014.0,17.7,SN_ITK_DEFC
349,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2015.0,17.3,SN_ITK_DEFC
350,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2016.0,16.4,SN_ITK_DEFC
351,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2017.0,16.3,SN_ITK_DEFC
352,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2018.0,16.0,SN_ITK_DEFC
353,SN_ITK_DEFC                         ,2.0,2.1,2.1.1,SN_ITK_DEFC,2019.0,16.8,SN_ITK_DEFC
356,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2015.0,38.3,AG_PRD_FIESMSMALE15+
357,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2016.0,40.1,AG_PRD_FIESMSMALE15+
362,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2017.0,38.5,AG_PRD_FIESMSMALE15+
363,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2018.0,39.6,AG_PRD_FIESMSMALE15+
368,AG_PRD_FIESMS MALE                 15+       ,2.0,2.1,2.1.2,AG_PRD_FIESMS,2019.0,42.6,AG_PRD_FIESMSMALE15+
422,SH_STA_STNT                  <5Y       ,2.0,2.2,2.2.1,SH_STA_STNT,2015.0,46.7,SH_STA_STNT<5Y
432,SH_STA_WAST                  <5Y       ,2.0,2.2,2.2.2,SH_STA_WAST,2015.0,0.8,SH_STA_WAST<5Y
460,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2012.0,10.6,SH_STA_ANEM_NPRGFEMALE15-49
461,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2013.0,9.8,SH_STA_ANEM_NPRGFEMALE15-49
462,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2014.0,9.1,SH_STA_ANEM_NPRGFEMALE15-49
463,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2015.0,8.5,SH_STA_ANEM_NPRGFEMALE15-49
464,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2016.0,8.0,SH_STA_ANEM_NPRGFEMALE15-49
465,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2017.0,7.6,SH_STA_ANEM_NPRGFEMALE15-49
466,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2018.0,7.3,SH_STA_ANEM_NPRGFEMALE15-49
467,SH_STA_ANEM_NPRG FEMALE                 15-49       ,2.0,2.2,2.2.3,SH_STA_ANEM_NPRG,2019.0,7.0,SH_STA_ANEM_NPRGFEMALE15-49
499,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,2012.0,,PD_AGR_LSFPBOTHSEX
503,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,2013.0,,PD_AGR_LSFPBOTHSEX
505,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,2014.0,,PD_AGR_LSFPBOTHSEX
508,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,2015.0,,PD_AGR_LSFPBOTHSEX
511,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,2016.0,,PD_AGR_LSFPBOTHSEX
514,SI_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.2,SI_AGR_LSFP,2012.0,,SI_AGR_LSFPBOTHSEX
518,SI_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.2,SI_AGR_LSFP,2013.0,,SI_AGR_LSFPBOTHSEX
520,SI_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.2,SI_AGR_LSFP,2014.0,7409.45,SI_AGR_LSFPBOTHSEX
523,SI_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.2,SI_AGR_LSFP,2015.0,,SI_AGR_LSFPBOTHSEX
527,SI_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.2,SI_AGR_LSFP,2016.0,,SI_AGR_LSFPBOTHSEX
528,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2012.0,,ER_GRF_ANIMRCNTN
529,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2013.0,,ER_GRF_ANIMRCNTN
530,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2014.0,,ER_GRF_ANIMRCNTN
531,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2015.0,,ER_GRF_ANIMRCNTN
532,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2016.0,,ER_GRF_ANIMRCNTN
533,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2017.0,,ER_GRF_ANIMRCNTN
534,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2018.0,,ER_GRF_ANIMRCNTN
535,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2019.0,,ER_GRF_ANIMRCNTN
536,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2020.0,,ER_GRF_ANIMRCNTN
537,ER_GRF_ANIMRCNTN                         ,2.0,2.5,2.5.1,ER_GRF_ANIMRCNTN,2021.0,,ER_GRF_ANIMRCNTN
545,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2012.0,100.0,ER_RSK_LBREDS
546,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2013.0,100.0,ER_RSK_LBREDS
547,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2014.0,100.0,ER_RSK_LBREDS
548,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2015.0,100.0,ER_RSK_LBREDS
549,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2016.0,100.0,ER_RSK_LBREDS
550,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2017.0,100.0,ER_RSK_LBREDS
551,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2018.0,,ER_RSK_LBREDS
552,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2019.0,,ER_RSK_LBREDS
553,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2020.0,,ER_RSK_LBREDS
554,ER_RSK_LBREDS                         ,2.0,2.5,2.5.2,ER_RSK_LBREDS,2021.0,,ER_RSK_LBREDS
563,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2012.0,38.8,DC_TOF_AGRL
564,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2013.0,49.1,DC_TOF_AGRL
565,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2014.0,57.0,DC_TOF_AGRL
566,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2015.0,61.9,DC_TOF_AGRL
567,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2016.0,52.3,DC_TOF_AGRL
568,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2017.0,47.6,DC_TOF_AGRL
569,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2018.0,40.9,DC_TOF_AGRL
570,DC_TOF_AGRL                         ,2.0,2.a,2.a.2,DC_TOF_AGRL,2019.0,35.9,DC_TOF_AGRL
579,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2012.0,3.1,AG_XPD_AGSGBA
580,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2013.0,2.69,AG_XPD_AGSGBA
581,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2014.0,3.04,AG_XPD_AGSGBA
582,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2015.0,1.83,AG_XPD_AGSGBA
583,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2016.0,1.77,AG_XPD_AGSGBA
584,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2017.0,2.15,AG_XPD_AGSGBA
585,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2018.0,1.69,AG_XPD_AGSGBA
586,AG_XPD_AGSGB              A           ,2.0,2.a,2.a.1,AG_XPD_AGSGB,2019.0,1.59,AG_XPD_AGSGBA
617,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2012.0,0.1,AG_FPA_CFPI
618,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2013.0,0.6,AG_FPA_CFPI
619,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2014.0,0.7,AG_FPA_CFPI
620,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2015.0,1.7,AG_FPA_CFPI
621,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2016.0,0.6,AG_FPA_CFPI
622,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2017.0,0.3,AG_FPA_CFPI
623,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2018.0,-0.2,AG_FPA_CFPI
624,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2019.0,-0.2,AG_FPA_CFPI
625,AG_FPA_CFPI                         ,2.0,2.c,2.c.1,AG_FPA_CFPI,2020.0,,AG_FPA_CFPI
626,SH_STA_BRTC                         ,3.0,3.1,3.1.2,SH_STA_BRTC,2012.0,58.7,SH_STA_BRTC
627,SH_STA_BRTC                         ,3.0,3.1,3.1.2,SH_STA_BRTC,2013.0,62.8,SH_STA_BRTC
628,SH_STA_BRTC                         ,3.0,3.1,3.1.2,SH_STA_BRTC,2014.0,67.0,SH_STA_BRTC
629,SH_STA_BRTC                         ,3.0,3.1,3.1.2,SH_STA_BRTC,2015.0,65.5,SH_STA_BRTC
630,SH_STA_BRTC                         ,3.0,3.1,3.1.2,SH_STA_BRTC,2016.0,69.8,SH_STA_BRTC
631,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2012.0,118.0,SH_STA_MORTFEMALE
632,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2013.0,113.0,SH_STA_MORTFEMALE
633,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2014.0,107.0,SH_STA_MORTFEMALE
634,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2015.0,103.0,SH_STA_MORTFEMALE
635,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2016.0,98.0,SH_STA_MORTFEMALE
636,SH_STA_MORT FEMALE                        ,3.0,3.1,3.1.1,SH_STA_MORT,2017.0,95.0,SH_STA_MORTFEMALE
717,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2012.0,15.4,SH_DYN_NMRTBOTHSEX<1M
718,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2013.0,15.0,SH_DYN_NMRTBOTHSEX<1M
719,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2014.0,14.5,SH_DYN_NMRTBOTHSEX<1M
720,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2015.0,14.0,SH_DYN_NMRTBOTHSEX<1M
721,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2016.0,13.5,SH_DYN_NMRTBOTHSEX<1M
722,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2017.0,13.0,SH_DYN_NMRTBOTHSEX<1M
723,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2018.0,12.6,SH_DYN_NMRTBOTHSEX<1M
724,SH_DYN_NMRT BOTHSEX                 <1M       ,3.0,3.2,3.2.2,SH_DYN_NMRT,2019.0,12.2,SH_DYN_NMRTBOTHSEX<1M
725,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2012.0,5673.0,SH_DYN_MORTNFEMALE<5Y
730,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2013.0,5456.0,SH_DYN_MORTNFEMALE<5Y
731,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2014.0,5267.0,SH_DYN_MORTNFEMALE<5Y
735,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2015.0,5090.0,SH_DYN_MORTNFEMALE<5Y
737,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2016.0,4928.0,SH_DYN_MORTNFEMALE<5Y
742,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2017.0,4771.0,SH_DYN_MORTNFEMALE<5Y
743,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2018.0,4639.0,SH_DYN_MORTNFEMALE<5Y
746,SH_DYN_MORTN FEMALE                 <5Y       ,3.0,3.2,3.2.1,SH_DYN_MORTN,2019.0,4506.0,SH_DYN_MORTNFEMALE<5Y
853,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2012.0,0.54319,SH_STA_MALR
854,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2013.0,0.6185,SH_STA_MALR
855,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2014.0,0.55304,SH_STA_MALR
856,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2015.0,0.65212,SH_STA_MALR
857,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2016.0,0.45411,SH_STA_MALR
858,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2017.0,0.34363,SH_STA_MALR
859,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2018.0,0.27226,SH_STA_MALR
860,SH_STA_MALR                         ,3.0,3.3,3.3.3,SH_STA_MALR,2019.0,0.18293,SH_STA_MALR
861,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2012.0,3216909.0,SH_TRP_INTVN
862,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2013.0,3205688.0,SH_TRP_INTVN
863,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2014.0,3234783.0,SH_TRP_INTVN
864,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2015.0,3321447.0,SH_TRP_INTVN
865,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2016.0,3265661.0,SH_TRP_INTVN
866,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2017.0,4836947.0,SH_TRP_INTVN
867,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2018.0,4957871.0,SH_TRP_INTVN
868,SH_TRP_INTVN                         ,3.0,3.3,3.3.5,SH_TRP_INTVN,2019.0,4957871.0,SH_TRP_INTVN
869,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2012.0,28.0,SH_TBS_INCD
870,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2013.0,27.0,SH_TBS_INCD
871,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2014.0,25.0,SH_TBS_INCD
872,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2015.0,26.0,SH_TBS_INCD
873,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2016.0,24.0,SH_TBS_INCD
874,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2017.0,25.0,SH_TBS_INCD
875,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2018.0,26.0,SH_TBS_INCD
876,SH_TBS_INCD                         ,3.0,3.3,3.3.2,SH_TBS_INCD,2019.0,26.0,SH_TBS_INCD
877,SH_HAP_HBSAG                  <5Y       ,3.0,3.3,3.3.4,SH_HAP_HBSAG,2015.0,0.05,SH_HAP_HBSAG<5Y
886,SH_STA_SCIDE MALE                        ,3.0,3.4,3.4.2,SH_STA_SCIDE,2015.0,8.9,SH_STA_SCIDEMALE
888,SH_STA_SCIDE MALE                        ,3.0,3.4,3.4.2,SH_STA_SCIDE,2019.0,9.3,SH_STA_SCIDEMALE
903,SH_DTH_NCD BOTHSEX               CAN         ,3.0,3.4,3.4.1,SH_DTH_NCD,2015.0,8680.0,SH_DTH_NCDBOTHSEXCAN
909,SH_DTH_NCD BOTHSEX               CAN         ,3.0,3.4,3.4.1,SH_DTH_NCD,2019.0,9422.0,SH_DTH_NCDBOTHSEXCAN
921,SH_ALC_CONSPT BOTHSEX             A    15+       ,3.0,3.5,3.5.2,SH_ALC_CONSPT,2015.0,1.65084,SH_ALC_CONSPTBOTHSEXA15+
925,SH_ALC_CONSPT BOTHSEX             A    15+       ,3.0,3.5,3.5.2,SH_ALC_CONSPT,2019.0,1.62745,SH_ALC_CONSPTBOTHSEXA15+
926,SH_SUD_ALCOL BOTHSEX                 15+       ,3.0,3.5,3.5.1,SH_SUD_ALCOL,2016.0,6.4,SH_SUD_ALCOLBOTHSEX15+
