,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Substance use disorders],[Tariff regime (status)],[Severity of price levels],[Sex],[Deviation Level],[Mountain Elevation],[Parliamentary committees],[Mode of transportation],[Fiscal intervention stage],[Type of support],[Type of speed],[Policy instruments],[Policy Domains],[Counterpart],[Type of skill],[Education level],[Type of waste treatment],[Location],[Food Waste Sector],[Name of international agreement],[Reporting Type],[Freq],[Type of product],[Cause of death],[Report Ordinal],[Type of facilities],[Government_Name],[Observation Status],[Type of occupation],[Type of mobile technology],[Name of non-communicable disease],[Grounds of discrimination],[Units],[Level/Status],[Age],[Disability status],[Frequency of Chlorophyll-a concentration],[Activity],[Nature],[Sampling Stations],[Cities],[Level of requirement],[Quantile],[IHR Capacity],[Hazard type],[Migratory status],[Name of international institution]
103,1.0,1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",320.0,Guatemala,2017.0,10.3,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
106,1.0,1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",320.0,Guatemala,2018.0,14.1,2018,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
107,1.0,1.3,1.3.1,SI_COV_BENFTS,"[ILO] Proportion of population covered by at least one social protection benefit, by sex (%)",320.0,Guatemala,2020.0,14.5,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
108,1.0,1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",320.0,Guatemala,2016.0,2.3,2016,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
109,1.0,1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",320.0,Guatemala,2017.0,3.3,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
112,1.0,1.3,1.3.1,SI_COV_DISAB,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",320.0,Guatemala,2020.0,2.2,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
115,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",320.0,Guatemala,2016.0,8.3,2016,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
118,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",320.0,Guatemala,2017.0,26.2,2017,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
120,1.0,1.3,1.3.1,SI_COV_PENSN,"[ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%)",320.0,Guatemala,2020.0,16.7,2020,,,,,ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),,,,,,BOTHSEX,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
123,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2012.0,91.0,2012,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
127,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2013.0,91.0,2013,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
130,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2014.0,92.0,2014,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
133,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2015.0,92.0,2015,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
134,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2016.0,92.0,2016,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
137,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2017.0,93.0,2017,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
142,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2018.0,93.0,2018,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
145,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2019.0,94.0,2019,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
148,1.0,1.4,1.4.1,SP_ACS_BSRVH2O,"Proportion of population using basic drinking water services, by location (%)",320.0,Guatemala,2020.0,94.0,2020,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
150,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2012.0,66.0,2012,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
154,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2013.0,66.0,2013,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
155,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2014.0,66.0,2014,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
158,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2015.0,67.0,2015,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
161,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2016.0,67.0,2016,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
164,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2017.0,67.0,2017,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
167,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2018.0,67.0,2018,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
170,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2019.0,68.0,2019,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
173,1.0,1.4,1.4.1,SP_ACS_BSRVSAN,"Proportion of population using basic sanitation services, by location (%)",320.0,Guatemala,2020.0,68.0,2020,,,,,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",,,,,,,,,,,,,,,,,,,,ALLAREA,,,G,,,,,,,,,,,,PERCENT,,,,,,E,,,,,,,,
176,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2012.0,247532401.0,2012,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
177,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2013.0,6615000.0,2013,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
178,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2014.0,119050800.0,2014,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
179,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2015.0,89476419.00196,2015,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
180,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2016.0,8659143.0,2016,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
181,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2017.0,153084727.5224,2017,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
182,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2018.0,147355220.9939,2018,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
183,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2019.0,34780815.52554,2019,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
184,1.0,1.5,1.5.2,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),320.0,Guatemala,2020.0,920066206.49707,2020,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,CU_USD,,,,,,C,,,,,,,,
185,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),320.0,Guatemala,2012.0,1.0,2012,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
186,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),320.0,Guatemala,2013.0,3.0,2013,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
187,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),320.0,Guatemala,2014.0,2.0,2014,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
188,1.0,1.5,1.5.1,VC_DSR_MISS,Number of missing persons due to disaster (number),320.0,Guatemala,2015.0,220.0,2015,,,,,United Nations Office for Disaster Risk Reduction (2021),,Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,NUMBER,,,,,,C,,,,,,,,
