Index,pdf_name,definition
1.a.1,SDG-indicator-pdfs/Metadata-01-0a-01.pdf,"Total official development assistance (ODA) grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income. The OECD/Development Assistance Committee (DAC) defines ODA as “flows to countries and territories on the DAC List of ODA Recipients and to multilateral institutions which are i) provided by official agencies, including state and local governments, or by their executive agencies; and ii) each transaction is administered with the promotion of the economic development and welfare of developing countries as its main objective; and is concessional in character and conveys a grant element of at least 25 per cent (calculated at a rate of discount of 10 per cent). (See http://www.oecd.org/dac/stats/officialdevelopmentassistancedefinitionandcoverage.htm). Poverty reduction items can be defined as ODA to basic social services (basic health, basic education, basic water and sanitation, population programmes and reproductive health) and developmental food aid (see here: http://www.oecd.org/dac/stats/purposecodessectorclassification.htm). Rationale: Total ODA flows to developing countries quantify the public effort (excluding non- concessional flows and export credits), that all donors provide for the economic development and welfare of developing countries. Within ODA, basic social services and development food aid focus on poverty alleviation in developing countries."
1.a.2,SDG-indicator-pdfs/Metadata-01-0a-02.pdf,"Total general (local, regional and central) government expenditure on education (current, capital, and transfers), expressed as a percentage of total general government expenditure on all sectors (including health, education, social services, etc.). It includes expenditure funded by transfers from international sources to the government."
1.b.1,SDG-indicator-pdfs/Metadata-01-0b-01.pdf,"Proportion of government spending towards health and education and direct transfers which benefit directly the monetary poor. Government spending measures public expenditures on health and education services. Direct transfers refer to cash transfers and near-cash transfers. The definition of the monetary poor follows national standards, with poverty levels determined by national definition of income or consumption poverty (consistent with SDG 1.2.1). Rationale: The indicator measures the extent to which public spending in three key areas which are critical for poverty eradication, including health, education, and other direct transfers is directly allocated to individuals or households in the monetary poor as per the national definition. The indicator measures if public spending is targeting the monetary poor. Pro-poor social spending is defined if the proportion of government expenditures on social services is higher than the proportion of the population, measured at the level determined by national definition of income/consumption poverty (consistent with SDG 1.2.1). For instance, if the proportion of public spending received by the poor exceeds (falls below) the proportion of poor as defined by national definitions, public expenditures can be interpreted as pro-poor (not pro-poor). This is a strong measurement of the financial commitment governments make to target their services and transfers on the poor groups of society, reinforcing pro-poor development strategies. Further developments of the methodology and improvements in data availability may allow to expand this indicator to other vulnerable groups, such as women and children."
2.1.1,SDG-indicator-pdfs/Metadata-02-01-01.pdf,The prevalence of undernourishment (PoU) (French: pourcentage de sous-alimentation; Spanish: porcentaje de sub-alimentación; Italian: prevalenza di sotto-alimentazione) is an estimate of the proportion of the population whose habitual food consumption is insufficient to provide the dietary energy levels that are required to maintain a normal active and healthy life. It is expressed as a percentage.
2.1.2,SDG-indicator-pdfs/Metadata-02-01-02.pdf,"The indicator measures the percentage of individuals in the population who have experienced food insecurity at moderate or severe levels during the reference period. The severity of food insecurity, defined as a latent trait, is measured on the Food Insecurity Experience Scale global reference scale, a measurement standard established by FAO through the application of the Food Insecurity Experience Scale in more than 140 countries worldwide, starting in 2014."
2.2.1,SDG-indicator-pdfs/Metadata-02-02-01.pdf,Prevalence of stunting (height-for-age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age. (French: pourcentage de sous-alimentation; Spanish: porcentaje de sub-alimentación) Rationale: Child growth is an internationally accepted outcome reflecting child nutritional status. Child stunting refers to a child who is too short for his or her age and is the result of chronic or recurrent malnutrition. Stunting is a contributing risk factor to child mortality and is also a marker of inequalities in human development. Stunted children fail to reach their physical and cognitive potential. Child stunting is one of the World Health Assembly nutrition target indicators.
2.2.2,SDG-indicator-pdfs/Metadata-02-02-02a.pdf,Prevalence of overweight (weight for height >+2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age. Rationale: Child growth is an internationally accepted outcome area reflecting child nutritional status. Child overweight refers to a child who is too heavy for his or her height. This form of malnutrition results from expending too few calories for the amount of food consumed and increases the risk of noncommunicable diseases later in life. Child overweight is one of the World Health Assembly nutrition target indicators.
2.2.3,SDG-indicator-pdfs/Metadata-02-02-03.pdf,"Percentage of women aged 15−49 years with a haemoglobin concentration less than 120 g/L for non-pregnant women and lactating women, and less than 110 g/L for pregnant women, adjusted for altitude and smoking."
2.3.1,SDG-indicator-pdfs/Metadata-02-03-01.pdf,"Volume of agricultural production of small-scale food producer in crop, livestock, fisheries, and forestry activities per number of days. The indicator is computed as a ratio of annual output to the number of working days in one year. Last updated: 15 February 2021 FAO proposes to define small-scale food producers as producers who: • operate an amount of land falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of land size at national level (measured in hectares); and • operate a number of livestock falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of the number of livestock per production unit at national level (measured in Tropical Livestock Units – TLUs); and • obtain an annual economic revenue from agricultural activities falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of economic revenues from agricultural activities per production unit at national level (measured in Purchasing Power Parity Dollars) not exceeding 34,387 Purchasing Power Parity Dollars."
2.3.2,SDG-indicator-pdfs/Metadata-02-03-02.pdf,"SDG indicator 2.3.2 measures income from on-farm production activities, which is related to the production of food and agricultural products. This includes income from crop production, livestock production, fisheries and aquaculture production, and from forestry production. The indicator is computed as annual income. FAO proposes to define small-scale food producers as producers who: Last updated: 15 February 2021 • operate an amount of land falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of land size at national level (measured in hectares); and • operate a number of livestock falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of the number of livestock per production unit at national level (measured in Tropical Livestock Units – TLUs); and • obtain an annual economic revenue from agricultural activities falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of economic revenues from agricultural activities per production unit at national level (measured in Purchasing Power Parity Dollars) not exceeding 34,387 Purchasing Power Parity Dollars."
2.4.1,SDG-indicator-pdfs/Metadata-02-04-01.pdf,"The indicator is defined by the formula: Last updated: March 2021 𝑆𝐷𝐺2.4.1 = 𝐴𝑟𝑒𝑎 𝑢𝑛𝑑𝑒𝑟 𝑝𝑟𝑜𝑑𝑢𝑐𝑡𝑖𝑣𝑒 𝑎𝑛𝑑 𝑠𝑢𝑠𝑡𝑎𝑖𝑛𝑎𝑏𝑙𝑒 𝑎𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑒 𝐴𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑎𝑙 𝑙𝑎𝑛𝑑 𝑎𝑟𝑒𝑎1 This implies the need to measure both the extent of land under productive and sustainable agriculture (the numerator), as well as the extent of agriculture land area (the denominator). • The numerator captures the three dimensions of sustainable production: environmental, economic and social. It corresponds to agricultural land area of the farms that satisfy the sustainability criteria of the 11 sub-indicators selected across all three dimensions. • The denominator in turn the sum of agricultural land area (as defined by FAO) utilized by agricultural holdings that are owned (excluding rented-out), rented-in, leased, sharecropped or borrowed. State or communal land used by farm holdings is not included. Please see the methodological document prepared by FAO for a more detailed explanation. The scope of indicator 2.4.1 is the agricultural farm holding, and more precisely the agricultural land area of the farm holding, i.e. land used primarily to grow crops and raise livestock. This choice of scope is fully consistent with the intended use of a country’s agricultural land area as the denominator of the aggregate indicator. Specifically the following are: Included within scope: • Intensive and extensive crops and livestock production systems. • Subsistence agriculture. • State and common land when used exclusively and managed by the farm holding. • Food and non-food crops and livestock products (e.g. tobacco, cotton, and sheep wool). • Crops grown for fodder or for energy purposes. • Agro-forestry (trees on the agriculture areas of the farm). • Aquaculture, to the extent that it takes place within the agricultural land area. For example, rice-fish farming and similar systems. Excluded from scope: • State and common land not used exclusively by the farm holding. • Nomadic pastoralism. • Production from gardens and backyards. Production from hobby farms2. • Holdings focusing exclusively on aquaculture. • Holdings focusing exclusively on forestry. • Food harvested from the wild."
2.5.1,SDG-indicator-pdfs/Metadata-02-05-01a.pdf,"The conservation of plant and animal genetic resources for food and agriculture (GRFA) in medium or long term conservation facilities (ex situ, in genebanks) represents the most trusted means of conserving genetic resources worldwide. Plant and animal GRFA conserved in these facilities can be easily used in breeding programmes as well, even directly on-farm. The measure of trends in ex situ conserved materials provides an overall assessment of the extent to which we are managing to maintain and/or increase the total genetic diversity available for future use Last updated: March 2021 and thus protected from any permanent loss of genetic diversity which may occur in the natural habitat, i.e. in situ, or on-farm. The two components of the indicator 2.5.1, plant (a) and animal (b) GRFA, are separately counted. The plant component is calculated as the number of accessions of plant genetic resources secured in conservation facilities under medium or long term conditions, where an ‘accession’ is defined as a distinct sample of seeds, planting materials or plants which is maintained in a genebank. Genebank Standards for Plant Genetic Resources for Food and Agriculture (accessible at http://www.fao.org/documents/card/en/c/7b79ee93-0f3c-5f58-9adc-5d4ef063f9c7/), set the benchmark for current scientific and technical best practices for conserving plant genetic resources, and support key international policy instruments for the conservation and use of plant genetic resources. These voluntary standards have been endorsed by the FAO Commission on Genetic Resources for Food and Agriculture at its Fourteenth Regular Session (http://www.fao.org/docrep/meeting/028/mg538e.pdf)."
2.5.2,SDG-indicator-pdfs/Metadata-02-05-02.pdf,"The indicator presents the percentage of local livestock breeds among local breeds with known risk status classified as being at risk of extinctions at a certain moment in time, as well as the trends for this percentage."
2.a.1,SDG-indicator-pdfs/Metadata-02-0A-01.pdf,"The Agriculture Orientation Index (AOI) for Government Expenditures is defined as the Agriculture share of Government Expenditure, divided by the Agriculture value added share of GDP, where Agriculture refers to the agriculture, forestry, fishing and hunting sector. The measure is a currency-free index, calculated as the ratio of these two shares. National governments are requested to compile Government Expenditures according to the Government Finance Statistics (GFS) and the Classification of the Functions of Government (COFOG), and Agriculture value added share of GDP according to the System of National Accounts (SNA). Last updated: March 2021"
2.a.2,SDG-indicator-pdfs/Metadata-02-0A-02.pdf,Gross disbursements of total ODA and other official flows from all donors to the agriculture sector. Rationale: Total ODA and OOF flows to developing countries quantify the public effort (excluding export credits) that donors provide to developing countries for agriculture.
2.b.1,SDG-indicator-pdfs/Metadata-02-0B-01.pdf,
2.c.1,SDG-indicator-pdfs/Metadata-02-0C-01.pdf,"The indicator of food price anomalies (IFPA) identifies market prices that are abnormally high. The IFPA relies on a weighted compound growth rate that accounts for both within year and across year price growth. The indicator directly evaluates growth in prices over a particular month over many years, taking into account seasonality in agricultural markets and inflation, allowing to answer the question of whether or not a change in price is abnormal for any particular period."
3.1.1,SDG-indicator-pdfs/Metadata-03-01-01.pdf,"The maternal mortality ratio (MMR) is defined as the number of maternal deaths during a given time period per 100,000 live births during the same time period. It depicts the risk of maternal death relative to the number of live births and essentially captures the risk of death in a single pregnancy or a single live birth. Maternal deaths: The annual number of female deaths from any cause related to or aggravated by pregnancy or its management (excluding accidental or incidental causes) during pregnancy and childbirth or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, expressed per 100,000 live births, for a specified time period. Rationale: All maternal mortality indicators derived from the 2019 estimation round include a point-estimate and an 80% uncertainty interval (UI). Data are available and can be downloaded from the webpage “maternal mortality – levels and trends 2000-2017: http://mmr2017.srhr.org. Both point-estimates and 80% UIs should be taken into account when assessing estimates. For example: The estimated 2017 global MMR is 211 (UI 199 to 243) This means: • The point-estimate is 211 and the 80% uncertainty interval ranges 199 to 243. • There is a 50% chance that the true 2017 global MMR lies above 211, and a 50% chance that the true value lies below 211. • There is an 80% chance that the true 2017 global MMR lies between 199 and 243. • There is still a 10% chance that the true 2017 global MMR lies above 243, and a 10% chance that the true value lies below 199. Other accurate interpretations include: • We are 90% certain that the true 2017 global MMR is at least 199. • We are 90% certain that the true 2017 global MMR is 243 or less. Last updated: 12February 2020 2 The amount of data available for estimating an indicator and the quality of that data determine the width of an indicator’s UI. As data availability and quality improve, the certainty increases that an indicator’s true value lies close to the point-estimate."
3.1.2,SDG-indicator-pdfs/Metadata-03-01-02.pdf,
3.2.1,SDG-indicator-pdfs/Metadata-03-02-01.pdf,"Under-five mortality is the probability of a child born in a specific year or period dying before reaching the age of 5 years, if subject to age specific mortality rates of that period, expressed per 1000 live births. Rationale: Mortality rates among young children are a key output indicator for child health and well-being, and, more broadly, for social and economic development. It is a closely watched public health indicator because it reflects the access of children and communities to basic health interventions such as vaccination, medical treatment of infectious diseases and adequate nutrition."
3.2.2,SDG-indicator-pdfs/Metadata-03-02-02.pdf,
3.3.1,SDG-indicator-pdfs/Metadata-03-03-01.pdf,
3.3.2,SDG-indicator-pdfs/Metadata-03-03-02.pdf,"The tuberculosis incidence per 100 000 population is defined as the estimated number of new and relapse TB cases (all forms of TB, including cases in people living with HIV) arising in a given year, expressed as a rate per 100 000 population."
3.3.3,SDG-indicator-pdfs/Metadata-03-03-03.pdf,"Incidence of malaria is defined as the number of new cases of malaria per 1,000 people at risk each year."
3.3.4,SDG-indicator-pdfs/Metadata-03-03-04.pdf,"This indicator is measured indirectly through the proportion of children 5 years of age who have developed chronic HBV infection (i.e. the proportion that tests positive for a marker of infection called hepatitis B surface antigen [HBsAg]).1 Hepatitis B surface antigen: a protein from the virus’s coat. A positive test for HBsAg indicates active HBV infection. The immune response to HBsAg provides the basis for immunity against HBV, and HBsAg is the main component of HepB.2"
3.3.5,SDG-indicator-pdfs/Metadata-03-03-05.pdf,Number of people requiring treatment and care for any one of the neglected tropical diseases (NTDs) targeted by the WHO NTD Roadmap and World Health Assembly resolutions and reported to WHO. Last updated: 7 February 2021
3.4.1,SDG-indicator-pdfs/Metadata-03-04-01.pdf,
3.4.2,SDG-indicator-pdfs/Metadata-03-04-02.pdf,
3.5.1,SDG-indicator-pdfs/Metadata-03-05-01.pdf,"The coverage of treatment interventions for substance use disorders is defined as the number of people who received treatment in a year divided by the total number of people with substance use disorders in the same year. This indicator is disaggregated by two broad groups of psychoactive substances: (1) drugs, (2) alcohol and other psychoactive substances. Whenever possible, this indicator is additionally disaggregated by type of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services). The proposed indicator will be accompanied, with contextual information on availability coverage, i.e. treatment capacity for substance use disorders generated at national level to provide additional information for interpretation of the contact coverage data. Rationale: According to UNODC and WHO data, around 271 million people aged 15 to 64 years worldwide used an illicit drug at least once in 2017, about 2.3 billion people are current drinkers of alcohol, some 35 million of people suffer from drug use disorders and 289 million from alcohol use disorders. Substance use disorders are serious health conditions that present a significant burden for affected individuals, their families and communities. Untreated substance use disorders trigger substantial costs to society including lost productivity, increased health care expenditure, and costs related to criminal justice, social welfare, and other social consequences. Strengthening treatment services entails providing access to a comprehensive set of evidence-based interventions (-laid down in the international standards and guidelines) that should be available to all population groups in need. The indicator will inform the extent to which a range of evidence-based interventions for treatment of substance use disorder are available and are accessed by the population in need at country, regional and global level. Even though effective treatment exists, only a small amount of people with substance use disorders receive it. For instance, it is estimated that globally one out of 7 people with drug use disorders have access to or provided drug treatment services (World Drug Report 2019). WHO ATLAS-Substance Use data showed that in 2014 only 11.9 % (out of 103 responding) countries reported high coverage (40% or more) for alcohol Last update: 20 September 2019 dependence. SDG indicator 3.5.1 is crucial for measurement the progress towards strengthening the treatment of substance abuse worldwide as formulated in the Target 3.5."
3.5.2,SDG-indicator-pdfs/Metadata-03-05-02.pdf,
3.6.1,SDG-indicator-pdfs/Metadata-03-06-01.pdf,"Death rate due to road traffic injuries as defined as the number of road traffic fatal injury deaths per 100,000 population."
3.7.1,SDG-indicator-pdfs/Metadata-03-07-01.pdf,The percentage of women of reproductive age (15-49 years) currently using a modern method of contraception among those who desire either to have no (additional) children or to postpone the next pregnancy. The indicator is also referred to as the demand for family planning satisfied with modern methods.
3.7.2,SDG-indicator-pdfs/Metadata-03-07-02.pdf,"Annual number of births to females aged 10-14 or 15-19 years per 1,000 females in the respective age group."
3.8.1,SDG-indicator-pdfs/Metadata-03-08-01.pdf,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population). The indicator is an index reported on a unitless scale of 0 to 100, which is computed as the geometric mean of 14 tracer indicators of health service coverage. Rationale: Target 3.8 is defined as “Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all”. The concern is with all people and communities receiving the quality health services they need (including medicines and other health products), without financial hardship. Two indicators have been chosen to monitor target 3.8 within the SDG framework. Indicator 3.8.1 is for health service coverage and indicator 3.8.2 focuses on health expenditures in relation to a household’s budget to identify financial hardship caused by direct health care payments. Taken together, indicators 3.8.1 and 3.8.2 are meant to capture the service coverage and financial protection dimensions, respectively, of target 3.8. These two indicators should be always monitored jointly. Countries provide many essential services for health protection, promotion, prevention, treatment and care. Indicators of service coverage – defined as people receiving the service they need – are the best way to track progress in providing services under universal health coverage (UHC). Since a single health service indicator does not suffice for monitoring UHC, an index is constructed from 14 tracer indicators selected based on epidemiological and statistical criteria. This includes several indicators that are already included in other SDG targets, thereby minimizing the data collection and reporting burden. The index is reported on a unitless scale of 0 to 100, with 100 being the optimal value."
3.8.2,SDG-indicator-pdfs/Metadata-03-08-02.pdf,"Proportion of the population with large household expenditure on health as a share of total household expenditure or income. Two thresholds are used to define “large household expenditure on health”: greater than 10% and greater than 25% of total household expenditure or income. Rationale: Target 3.8 is defined as “Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all”. The concern is with all people and communities receiving the quality health services they need (including medicines and other health products), without financial hardship. Two indicators have been chosen to monitor target 3.8 within the SDG framework. Indicator 3.8.1 is for health service coverage, which is operationalized with an index that combines 16 health service coverage indicators for reproductive, maternal and child health, infectious diseases, non-communicable diseases, and service capacity and access into a single summary metric. Indicator 3.8.2 focuses on health expenditures in relation to a household’s budget to identify financial hardship caused by direct health care payments. Taken together, indicators 3.8.1 and 3.8.2 are meant to capture the service coverage and financial protection dimensions, respectively, of target 3.8. These two indicators should be always monitored jointly. Indicator 3.8.2 derives from methodologies dating back to the 1990s developed in collaboration with academics at the World Bank and the World Health Organization. Indicator 3.8.2 is about identifying people that need to devote a substantial share of their total household expenditure or income to health care. The focus is on payments made at the point of use to get any type of treatment, from any type of provider, for any type of disease or health problem, net of any reimbursements to the individual who made the payment but excluding pre-payments for health services; for example, in the form of taxes or specific insurance premiums or contributions. Such direct payments are the least equitable way to finance the health systems given that they determine the extent of care received. Last updated: March 2019 This is clearly against the spirit of the target, which calls for granting access based on health needs not a household’s capacity to pull together all its financial resources to meet the health needs of its members. Some direct payments might be needed but indicator 3.8.2 is underpinned by the conviction that no one, at whatever income level, should have to choose between spending on health and spending on other basic goods and services such as education tuitions, food necessities, housing and utilities. One way of assessing the extent to which health systems lead to financial hardship is to calculate the proportion of the population with large household expenditures on health as a share of household total consumption or income. For detailed information on the definition chosen to monitor the financial protection dimension of universal health coverage within the SDG monitoring framework (indicator 3.8.2) please consult Wagstaff et al. (2018) and chapter 2 in the WHO and World Bank report on “Tracking universal health coverage: 2017 global monitoring report”."
3.9.1,SDG-indicator-pdfs/Metadata-03-09-01.pdf,"The mortality attributable to the joint effects of household and ambient air pollution can be expressed as: Number of deaths, Death rate. Death rates are calculated by dividing the number of deaths by the total population (or indicated if a different population group is used, e.g. children under 5 years). Evidence from epidemiological studies have shown that exposure to air pollution is linked, among others, to the important diseases taken into account in this estimate: - Acute respiratory infections in young children (estimated under 5 years of age); - Cerebrovascular diseases (stroke) in adults (estimated above 25 years); - Ischaemic heart diseases (IHD) in adults (estimated above 25 years); - Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years); and - Lung cancer in adults (estimated above 25 years). Rationale: As part of a broader project to assess major risk factors to health, the mortality resulting from exposure to ambient (outdoor) air pollution and household (indoor) air pollution from polluting fuel use for cooking was assessed. Ambient air pollution results from emissions from industrial activity, households, cars and trucks which are complex mixtures of air pollutants, many of which are harmful to health. Of all of these pollutants, fine particulate matter has the greatest effect on human health. By polluting fuels is understood as wood, coal, animal dung, charcoal, and crop wastes, as well as kerosene. Air pollution is the biggest environmental risk to health. The majority of the burden is borne by the populations in low and middle-income countries."
3.9.2,SDG-indicator-pdfs/Metadata-03-09-02.pdf,"The mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services) as defined as the number of deaths from unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe WASH services) in a year, divided by the population, and multiplied by 100,000. Rationale: The indicator expresses the number of deaths from inadequate water, sanitation and hygiene (with focus on WASH services) which could be prevented by improving those services and practices. It is based on both the WASH service provision in the country, as well as the related health outcomes, and therefore provides important information on the actual disease caused by the risks measured in 6.1, 6.2 and 6.3."
3.9.3,SDG-indicator-pdfs/Metadata-03-09-03.pdf,"The mortality rate attributed to unintentional poisoning as defined as the number of deaths of unintentional poisonings in a year, divided by the population, and multiplied by 100 000."
3.a.1,SDG-indicator-pdfs/Metadata-03-0a-01.pdf,"The indicator is defined as the percentage of the population aged 15 years and over who currently use any tobacco product (smoked and/or smokeless tobacco) on a daily or non-daily basis. Rationale: Tobacco use is a major contributor to illness and death from non-communicable diseases (NCDs). There is no proven safe level of tobacco use or of second-hand smoke exposure. All daily and non-daily users of tobacco are at risk of a variety of poor health outcomes across the life-course, including NCDs. Reducing the prevalence of current tobacco use will make a large contribution to reducing premature mortality from NCDs (Target 3.4). Routine and regular monitoring of this indicator is necessary to enable accurate monitoring and evaluation of the impact of implementation of the WHO Framework Convention on Tobacco Control (WHO FCTC), or tobacco control policies in the countries that are not yet Parties to the WHO FCTC, over time. Tobacco use prevalence levels are an appropriate indicator of implementation of SDG Target 3.a “Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate”."
3.b.1,SDG-indicator-pdfs/Metadata-03-0b-01.pdf,"Coverage of DTP containing vaccine (3rd dose): Percentage of surviving infants who received the 3 doses of diphtheria and tetanus toxoid with pertussis containing vaccine in a given year. Coverage of Measles containing vaccine (2nd dose): Percentage of children who received two dose of measles containing vaccine according to nationally recommended schedule through routine immunization services in a given year. Coverage of Pneumococcal conjugate vaccine (last dose in the schedule): Percentage of surviving infants who received the nationally recommended doses of pneumococcal conjugate vaccine in a given year. Coverage of HPV vaccine (last dose in the schedule): Percentage of 15 years old girls received the recommended doses of HPV vaccine. Currently performance of the programme in the previous calendar year based on target age group is used. Rationale: This indicator aims to measure access to vaccines, including the newly available or underutilized vaccines, at the national level. In the past decades all countries added numerous new and underutilised vaccines in their national immunization schedule and there are several vaccines under final stage of development to be introduced by 2030. For monitoring diseases control and impact of vaccines it is important to measure coverage from each vaccine in national immunization schedule and the system is already in place for all national programmes, however direct measurement for proportion of population covered with all vaccines in the programme is only feasible if the country has a well-functioning national nominal immunization registry, usually an electronic one that will allow this coverage to be easily estimated. While countries will develop and strengthen immunization registries it is a need for an alternative measurement."
3.b.2,SDG-indicator-pdfs/Metadata-03-0B-02.pdf,Gross disbursements of total ODA from all donors to medical research and basic health sectors. Rationale: Total ODA flows to developing countries quantify the public effort that donors provide to developing countries for medical research and basic health.
